position,link,title,source,date,snippet,thumbnail
10,https://www.moneycontrol.com/news/business/real-estate/bollywood-actress-triptii-dimri-buys-luxury-property-in-mumbai-for-rs-14-crore-12743455.html,Bollywood actress Triptii Dimri buys luxury property in Mumbai for Rs 14 crore,Moneycontrol,"Jun 7, 2024","Bandra West, known for its posh neighbourhoods and Uber apartments, has 
seen several big-ticket deals in recent years.",https://serpapi.com/searches/66afb677c90e0ad166e80466/images/30473a08bd03a4d4f83ef5d7da6e6791023117e980f759ce39ac8af1f5a002cf.jpeg
1,https://www.moneycontrol.com/news/business/real-estate/with-dream-plot-at-bandra-adani-realty-set-to-disrupt-mumbais-luxury-market-12372281.html,"With dream plot at Bandra, Adani Realty set to disrupt Mumbai’s luxury market",Moneycontrol,"Feb 28, 2024","Adani Realty has won the bid for undoubtedly the best piece of land in 
Mumbai. The new whale of the real estate market outbid L&T Realty to...",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0aba2eb2bcd97671b441e41154091df29c836e48d92eb30481.jpeg
2,https://www.timesnownews.com/business-economy/real-estate/bollywood-actress-tripti-dimri-buys-luxurious-bungalow-in-mumbai-for-rs-14-crore-details-article-110803158,Bollywood Actress Tripti Dimri Buys Luxurious Bungalow In Mumbai For Rs 14 Crore - Details,Times Now,"Jun 7, 2024","The sale agreement was officially registered on June 3, 2024, with Tripti 
Dimri paying a substantial stamp duty of Rs 70 lakh and a...",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0af40a2a8d6955d6495ef0ebd178eefb868ff95fa988226155.jpeg
3,https://www.moneycontrol.com/news/business/real-estate/preity-zinta-buys-bandra-apartment-for-rs-17-01-crore-11597191.html,Preity Zinta buys Bandra apartment for Rs 17.01 crore,Moneycontrol,"Oct 25, 2023","The Bollywood actor's new purchase has 1474-sq-ft of carpet area and is in 
the Pali Hill.",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0ae81c22c8bf3ee2787a6465ab20b297021065c34a0ede5302.jpeg
4,https://timesofindia.indiatimes.com/city/mumbai/bandra-police-file-fir-against-ex-employees-for-data-theft-impacting-real-estate-firm/articleshow/111467079.cms,Bandra police file FIR against ex-employees for data theft impacting real estate firm,Times of India,1 month ago,"MUMBAI: The Bandra police registered an FIR on Tuesday against three former 
employees of a real estate service company for abruptly...",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0a9b225dd8f97e130f0e7be0f804b7a34fae0050be4ee970a1.jpeg
5,https://www.hindustantimes.com/cities/mumbai-news/two-of-bandra-east-s-biggest-societies-to-go-into-redevelopment-101718393330099.html,Two of Bandra East’s biggest societies to go into redevelopment,Hindustan Times,1 month ago,"One of the largest cooperative societies in the area, Patrakar Nagar, 
spread over a two-acre plot and located across Rustomjee's sprawling...",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0a1a6677b75e317c483c79a63a98866ca96eec78210789e92a.jpeg
6,https://www.moneycontrol.com/news/business/real-estate/motilal-oswal-financial-services-md-ashish-gumashta-purchases-rs-36-crore-apartment-in-mumbais-bandra-12452911.html,Motilal Oswal Financial Services MD Ashish Gumashta purchases Rs 36 crore apartment in Mumbai's Bandra,Moneycontrol,"Mar 13, 2024","Bandra micromarket is one of the hottest in the Mumbai real estate market, 
and also has reported several high value deals.",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0a6a5c396d588f2fee98ff8420de903a4a4c9cdc400857451e.jpeg
7,https://www.hindustantimes.com/real-estate/manappuram-finance-md-nandakumar-buys-rs-41-crore-duplex-in-mumbai-101720102432541.html,Manappuram Finance MD Nandakumar buys ₹41 crore duplex in Mumbai,Hindustan Times,1 month ago,"VP Nandakumar, MD and CEO of Manappuram Finance has purchased a 4500 square 
feet duplex property in Mumbai's Bandra West locality for...",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0a9ed552aecfdefb37a4fa7a6a5b32b18165dad00aa98163e4.jpeg
8,https://m.economictimes.com/industry/services/property-/-cstruction/wsb-real-estate-invests-in-shapoorji-pallonjis-project-in-mumbais-bandra-east/articleshow/107452009.cms,WSB Real Estate invests in Shapoorji Pallonji’s project in Mumbai’s Bandra East,The Economic Times,"Feb 6, 2024","WSB Real Estate Partners' WSBREDF II has invested Rs 55 crore in Shapoorji 
Pallonji Real Estate's joint venture residential project BKC 9 in...",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0ae298db76dbf5f9b99c5c20ed64815dd88f2a64db339098e3.jpeg
9,https://www.business-standard.com/markets/capital-market-news/raymond-hits-record-high-as-real-estate-arm-bags-2-acre-mumbai-project-124061000340_1.html,Raymond hits record high as real estate arm bags 2-acre Mumbai project,Business Standard,1 month ago,"Raymond surged 7.29% to Rs 2649.75 after its real estate division gets 
selected as the preferred developer for redevelopment of MIG VI CHS...",https://serpapi.com/searches/66afb679979054fb3fe18156/images/835f0c665f9a4b0aa36c5d78fb67bb5b4be7a79d1f90342cd362d04c44826603.png
