position,link,title,source,date,snippet,thumbnail,locality
3,https://housing.com/news/birla-estates-books-sales-of-rs-5400-cr-from-mumbai-project/,"Birla Estates books sales of Rs 5,400 cr from Mumbai project",Housing,"May 6, 2024","This includes Rs 2500 crore in sales specifically from the tower named 
'Silas' within the Birla Niyaara project.",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e4861892a6f9f8456163522aad2bc0c2173e7c8d16397c841390.jpeg,Fort
4,https://www.hindustantimes.com/cities/mumbai-news/bombay-high-court-allows-construction-of-69-90-metre-high-building-in-fort-heritage-precinct-without-noc-101693942259589.html,"HC strikes down BMC condition, allows high-rise in Fort heritage precinct",Hindustan Times,"Sep 6, 2023","The Bombay High Court has allowed the construction of a 69.90-meter-high 
building in the Fort heritage precinct without the mandatory...",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e4864b0aac7c98f559f1898f7402d0c2aebae75a162a1b438af7.jpeg,Fort
5,https://m.economictimes.com/industry/services/property-/-cstruction/cdsl-buys-46000-sq-ft-office-in-mumbais-lower-parel-for-rs-163-crore/articleshow/96338580.cms,"CDSL buys 46,000 sq ft office in Mumbai’s Lower Parel for Rs 163 crore",The Economic Times,"Dec 19, 2022","The developer Marathon Nextgen Realty has also launched a commercial tower 
in Mulund suburb of Mumbai and is planning another commercial...",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e486251d7227791b8c09ac6e0c350bbb80910f0cd848ec49a754.jpeg,Fort
6,https://www.hindustantimes.com/cities/mumbai-news/sabya-takes-over-4-storied-building-at-horniman-circle-101665599620249.html,Sabya takes over 4-storied building at Horniman Circle,Hindustan Times,"Oct 13, 2022","Designer to move in next year; estimated rent is little under ₹2 crore per 
month. The designer is hoping for a mid-February opening.",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e4862971b919d1e535d4f700190d6e0712bf8ee276e936f4d956.jpeg,Fort
7,https://www.hindustantimes.com/cities/mumbai-news/adani-group-to-get-more-value-for-tdr-generated-from-dharavi-redevelopment-project-101700076779407.html,Adani Group can now earn more from TDR in Dharavi Redevelopment Project,Hindustan Times,"Nov 16, 2023","Maharashtra has issued a notification allowing the use of TDR without 
indexation, which will benefit the Adani group in the Dharavi...",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e486b997a506139421311e31d39ff533b9511b668856bbad9eb7.jpeg,Fort
8,https://m.economictimes.com/industry/services/property-/-cstruction/morgan-stanley-leases-3-35-lakh-sq-ft-additional-office-space-from-oberoi-realty-in-mumbais-goregaon/articleshow/89952788.cms,Morgan Stanley leases 3.35 lakh sq ft additional office space from Oberoi Realty in Mumbai’s Goregaon,The Economic Times,"Mar 2, 2022","This space take up is in addition to Morgan Stanley's earlier transaction 
of 1.1 million sq ft of office space in the same office tower,...",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e48669a88f43d718c0b45ff18e11851306075fe929cbe4e992e4.jpeg,Fort
9,https://www.financialexpress.com/money/mumbai-property-rates-area-wise-2023-home-flat-average-prices-2938508/,Mumbai property rates area-wise: How property prices in MMR changed between 2015 and 2022,The Financial Express,"Jan 9, 2023","Bollywood actor Sonam Kapoor was in the news recently over reportedly 
selling her luxury apartment in Mumbai's Bandra-Kurla Complex for Rs...",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e48635ba3407700c59f38a77672fa828326bb206cf57364346ac.jpeg,Fort
10,https://www.moneycontrol.com/news/business/real-estate/hiranandani-group-plans-to-invest-rs-1000-crore-for-1-million-sq-ft-of-residences-at-panvel-near-mumbai-10402471.html,"Hiranandani Group plans to invest Rs 1,000 crore for 1 million sq ft of residences at Panvel near Mumbai",Moneycontrol,"Apr 12, 2023","The Hiranandani Group is going to invest Rs 1,000 crore and construct 1 
million sq ft of housing for their ongoing township project in...",https://serpapi.com/searches/66afcbc55b54ef70dda05c71/images/7cfe06f43406e4861fdd8688081818c08bb1af860c7d983145bb48b67629f4d9.jpeg,Fort
1,https://www.moneycontrol.com/news/business/real-estate/k-raheja-corp-acquires-fsi-rights-of-almost-1-52-lakh-sq-ft-in-mumbai-for-rs-275-crore-10071811.html,K Raheja Corp acquires FSI rights of almost 1.52 lakh sq ft in Mumbai for Rs 275 crore,Moneycontrol,"Feb 13, 2023","K Raheja Corp, through its subsidiary K Raheja Corp Realty Pvt Ltd, 
acquired the rights from M M Developer and Saroj Landmark Realty LLP.",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a19058c2438a0f741da0fcd7e4d303dd5cfd244bd80493e3f8f3f.jpeg,Fort
2,https://www.moneycontrol.com/news/business/real-estate/mumbais-tardeo-among-indias-top-10-expensive-housing-locations-with-a-price-tag-of-rs-56200-per-sq-ft-4416171.html,"Mumbai's Tardeo at Rs 56,200/sq ft among India’s top 10 expensive housing locations",Moneycontrol,"Sep 9, 2019","South Mumbai's Tardeo is India's most expensive luxury residential location 
in the primary residential real estate market,...",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a1905dfaa75b00aef1496c75b04fcb45595b16f38a85efaa1ae34.jpeg,Fort
3,https://timesofindia.indiatimes.com/city/mumbai/189-sq-ft-flats-for-rs-53-lakh-each-mumbais-new-micro-homes-are-also-not-cheap/articleshow/63888628.cms,189 sq ft flats for Rs 53 lakh each: Mumbai’s new micro-homes are also not cheap,Times of India,"Apr 24, 2018","MUMBAI: A number of projects now offer micro flats, some as tiny as 189sq 
ft, with space-saving designs, in-house amenities and a central...",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a1905714788fa3a6ae6089dbfec6cdb2809699cf14d0bbfc0dd56.jpeg,Fort
4,https://www.moneycontrol.com/news/business/real-estate/mumbai-developer-inks-pact-with-local-firm-to-develop-86111-sq-ft-land-parcel-at-kandivali-10143731.html,"Mumbai developer inks pact with local firm to develop 86,111-sq ft land parcel at Kandivali",Moneycontrol,"Feb 22, 2023","Sheth Homes has entered into a joint development agreement with Bombay Slum 
Redevelopment Corporation. The agreement value of the deal is Rs...",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a1905501aec5ac2e49d65aae4548275f2497b2ac3977f9549dfd1.jpeg,Fort
5,https://www.moneycontrol.com/news/business/real-estate/guardians-real-estate-advisory-buys-7500-sq-ft-office-in-one-bkc-for-rs-30-crore-5576631.html,"Guardians Real Estate Advisory buys 7,500 sq ft office in Mumbai's ONE BKC for Rs 30 crore",Moneycontrol,"Jul 21, 2020","Guardians plans to shift its head office to ONE BKC and fund the purchase 
through internal accruals. It has already made a substantially...",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a1905cc5a5caeb4ed082c5e9434d8eea2cf85bbfad98cf036dd23.jpeg,Fort
